cat_num,age_y,sex,f_mxl,f_db,f_msb
638,1.19,F,132.01,35.84,11.39
760,1.27,M,138.69,38.9,11.89
365,1.43,F,143.43,39.97,12.27
636,0.70,M,151.66,41.85,11.89
761,1.47,M,151.82,46.57,14.37
156,1.58,F,153.14,41.06,12.61
42,1.70,M,154.94,41.24,12.87
322,2.78,M,164.09,47.11,14.89
895,2.05,F,166.93,44.05,14.31
1147,2.00,M,167.65,50.66,14.51
708,1.93,F,170.76,48.69,14.38
1209,2.60,F,171.05,40.56,11.29
190,2.42,M,171.91,49.19,14.6
793,1.87,F,172.37,43.45,14.84
308,1.60,F,172.77,46.46,14.62
319,2.54,M,173.26,46.75,11.87
559,3.77,F,175.52,45.09,14.8
222,2.85,F,175.89,43.97,12.74
785,1.95,M,177.94,47.96,15.29
1198,3.00,F,178.52,45.54,15.05
1266,2.00,M,179.6,47.64,15.12
768,2.89,F,180.34,44.74,12.95
1235,3.00,M,181.57,41.44,11.5
290,2.66,M,182.36,48.76,15.41
557,2.35,F,183.24,46.67,15.86
522,1.57,F,184.05,48.98,14.83
1362,2.52,M,184.33,47.26,15.21
838,2.63,M,184.49,46.11,13.93
1169,2.60,F,184.61,40.34,13.65
943,4.06,M,184.75,46.97,13.92
2,2.30,F,184.86,44.54,14.61
795,2.20,F,184.87,46.52,14.49
676,2.50,F,185.73,46.23,13.71
819,2.97,F,187.15,46.79,15.47
826,2.85,F,187.82,47.56,15.61
990,3.05,M,187.84,51.2,15.27
1039,2.84,M,188.12,53.1,14.48
962,2.67,M,188.33,52.8,15.35
1255,2.00,M,188.61,48.29,13.29
846,2.71,M,188.81,49.59,15.65
827,2.58,M,189.16,47.82,14.81
585,2.82,M,189.17,50.44,15.97
891,3.27,M,189.56,47.8,15.08
622,3.57,M,189.62,52.65,15.37
887,2.30,M,189.69,52.44,13.26
367,3.01,F,190.33,49.75,14.21
443,3.02,M,190.59,48.38,14.68
1195,2.23,M,190.6,51.67,15.76
1143,2.47,M,190.69,53.08,16.11
623,2.81,F,190.8,48.21,15.18
1290,2.00,F,191.92,43.47,13.52
477,3.02,M,192.09,49.19,15.18
63,2.94,M,192.29,50.14,15.39
840,2.75,F,192.78,43.24,13
556,3.46,M,192.81,51.36,16.15
329,3.21,M,193.77,50.66,15.8
433,4.23,M,193.87,56.19,17.55
1127,2.00,M,193.93,52.8,16.39
1202,2.94,M,194.1,50.44,15.43
1078,3.36,F,194.44,46.23,15.16
65,3.08,F,194.85,46.18,13.31
1125,3.00,F,196.16,53.79,15.49
264,3.97,M,196.95,52.81,15.07
79,3.14,M,197.86,52.47,14.54
46,3.57,F,197.88,53.02,15.26
1238,3.00,F,198.1,48.52,15.27
685,2.75,M,198.37,52.66,16.96
541,2.98,M,198.93,60.08,18.13
158,3.48,M,199.5,50.29,14.31
54,2.28,F,199.98,49.71,15.74
309,3.25,M,200.03,49.87,14.81
326,3.84,F,200.71,49.65,15.99
26,3.54,M,200.75,55.74,16.3
933,3.56,F,200.9,49.55,15.35
1071,3.48,M,200.98,55.2,16.22
1011,2.89,M,201.83,54.75,14.87
14,2.92,F,202.18,48.87,13.95
295,4.02,M,202.68,49.84,14.67
118,2.92,M,202.74,51.15,15.33
820,3.04,F,202.84,52.25,16.45
575,4.35,M,203.07,51.87,15.73
808,3.10,F,203.14,48.14,15.73
1227,3.00,F,203.3,52.3,16.71
1231,4.12,F,203.75,50.34,14.86
1051,3.25,M,204.42,51.72,16.1
959,2.85,F,204.47,48.29,14.44
208,2.98,F,204.73,47.54,14.45
1207,3.00,F,204.97,53.88,16.25
1096,4.08,F,205.19,58.33,16.43
324,3.98,F,205.42,46.1,15.81
732,3.30,M,205.64,51.16,15.28
1042,3.64,F,205.65,50.71,14.15
141,3.71,F,206.13,50.44,14.44
869,3.34,M,206.26,46.33,13.81
872,4.07,M,206.82,49.71,15.05
1208,4.00,M,206.9,49.07,16.59
671,3.85,M,207.28,53.99,16.05
825,3.29,M,207.64,55.35,17.21
244,3.58,M,208.41,47.27,13.29
545,3.37,M,208.77,49.97,15.61
536,2.92,M,208.85,53.57,16.28
978,4.10,F,208.89,49.16,15.37
1055,3.84,M,209.71,57.7,14.97
563,2.88,F,209.86,49.75,15.23
1095,3.86,F,210.41,51.08,15.34
854,3.33,M,210.45,54.61,16.5
452,3.49,M,210.52,55.04,15.81
910,3.99,M,211.4,51.59,16.13
767,4.31,F,211.46,46.63,13.45
194,4.12,F,211.66,46.83,15.4
1165,2.98,F,211.8,51.47,15.16
1135,4.16,F,212.26,44.45,14.93
1128,3.45,F,212.54,47.46,14.03
897,4.09,F,212.59,58.05,16.51
1224,3.00,F,212.63,49.08,16.08
22,3.23,M,212.88,53.19,16.28
327,3.93,M,213.17,58.73,16.11
307,4.24,M,213.21,51.76,14.59
693,3.30,M,213.29,54.12,15.76
773,3.72,F,213.29,50.43,16.83
