"Type","Source","Material","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Sn","Pb","Bi","U","Th"
"geological","NH","qtz",0,1568,0,38346,1783,3582,146,88,239,13752,0,0,54,5.4,0,116.1,153,70.2,532,71,0,0,13,0,0,14
"geological","NH","qtz",0,0,0,6399,2063,524,13.1,0,24,1134,15,0,0,0,0,10.8,41.9,8.3,87.2,3.3,0,0,5.2,0,0,0
"geological","NH","qtz",0,0,0,2529,230,73,0,15,9,66,0,0,0,0,0,5,2.6,1.8,21.6,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,302,0,51,0,0,23,87,0,0,0,0,0,0,1.7,0,27.8,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,4423,174,215,6.3,0,33,793,0,0,0,0,0,22.7,8.2,0,45.7,3.3,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,4495,130,207,6.4,14,36,781,0,0,0,0,0,23,7.7,0,45.9,4.8,0,0,0,0,0,0
"geological","NH","qtz",8465,0,0,4526,147,214,6.7,11,31,784,12,0,0,0,0,22.7,6.5,0,45.7,5,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,4606,162,225,8.7,8,30,800,0,0,0,0,0,20.4,7.1,0,44.4,5.8,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,4325,142,204,7.6,12,31,831,0,0,0,0,0,21.8,8,0,46.7,4.9,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,218,7282,188,0,0,35,1052,0,0,0,0,0,0,10.6,4.6,32.2,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,0,5514,112,0,0,31,1731,0,0,0,0,0,0,8.7,4.7,36.6,0,0,0,0,0,0,0
"geological","NH","qtz",0,1254,0,3500,6689,55,6.1,0,27,161,14,0,0,0,0,2.5,64.4,44.1,12.2,0,0,0,16.2,0,0,0
"geological","NH","qtz",0,0,0,1724,102,157,14.1,8,0,162,17,0,0,0,0,5.8,13.9,5.6,47.6,0,0,0,0,0,4.8,0
"geological","NH","qtz",0,0,0,5478,661,449,9.5,12,0,120,0,0,0,0,0,11.7,6.2,2.9,60,2.7,0,0,5.4,0,0,0
"geological","NH","qtz",0,0,0,5589,706,452,9.3,0,0,119,0,0,0,0,0,12,5.5,2.6,60.6,2.1,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,5518,675,416,12.7,0,0,140,0,0,0,0,0,10.4,5.6,3.5,60.1,3.6,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,5610,645,433,9,8,0,128,0,10,0,0,0,12,5.3,2.6,61.1,2.8,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,5579,645,428,9.8,0,0,138,0,0,0,0,0,12.3,5.2,2.9,60.8,2.6,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,1493,0,90,6.1,0,0,135,0,0,0,0,0,3.8,1.5,0,45.5,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3104,0,513,0,20,0,239,0,0,0,0,0,12.9,16.4,0,52.7,2.9,0,0,6.6,0,0,0
"geological","NH","qtz",0,0,0,2227,496,149,6.1,0,0,201,0,0,0,0,0,10,10.2,4.5,36.7,0,0,0,0,0,0,0
"geological","NH","qtz",12886,0,0,1136,635,84,0,0,0,60,0,0,0,0,0,2.9,4.4,2.4,33.1,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3182,0,221,0,14,0,153,0,0,0,0,0,9.1,5.8,8.4,49.3,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3111,0,222,0,12,0,143,0,0,0,0,0,8.1,4.9,8.2,51.9,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,2957,0,211,0,9,0,149,0,0,0,0,0,8,5.6,8.2,48.8,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,2827,0,221,0,11,0,139,0,0,0,0,0,9.4,5.7,7.3,48.8,0,0,0,5.1,0,0,0
"geological","NH","qtz",0,0,0,2895,0,203,0,10,0,159,0,0,0,0,0,8.5,6.1,8.3,49,0,0,0,0,0,0,0
"geological","NH","qtz",6376,0,0,507,0,44,5.7,0,0,34,0,0,0,0,0,0,3.1,2.9,22.8,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,5242,0,310,20.7,10,0,463,0,0,0,0,0,20,10.7,0,14.4,0,0,0,6.8,0,0,0
"geological","NH","qtz",7120,0,0,3549,1754,229,4,13,0,119,0,0,0,0,0,6.6,4.6,7.5,47.7,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,637,0,97,3.6,0,0,136,0,0,0,0,0,0,3,0,52.3,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3225,5780,230,13.4,0,0,345,0,0,0,0,0,11.7,12.3,0,51.7,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3531,5611,258,15,0,0,381,0,0,0,0,0,12,13.8,0,52.7,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3352,5400,244,14.9,0,0,346,0,0,0,0,0,10.8,14,0,49.6,0,0,0,0,0,0,0
"geological","NH","qtz",0,0,0,3380,5311,233,16,13,0,351,14,0,0,0,0,11.2,11.9,0,48.1,0,0,0,0,0,0,0
